,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
La-142,3.7117e-15,2.7131e-15,1.5107e-15,1.6749e-15,1.5102e-15
Ce-135,1.4178e-22,3.3723e-22,1.5154e-22,1.5033e-22,2.2043e-22
Ce-137,6.1771e-20,1.1568e-19,6.3156e-20,7.1425e-20,9.0352e-20
Ce-138,8.4128e-15,2.6565e-14,7.0638e-14,3.7031e-13,1.8584e-13
Ce-139,1.6601e-13,1.9012e-11,9.3359e-13,3.0909e-09,5.1137e-10
Ce-139m,7.5058e-29,1.5960e-28,8.5936e-29,6.4595e-29,9.7465e-29
Ce-140,3.2614e-05,8.2896e-05,1.7858e-04,2.4129e-04,2.7599e-04
Ce-141,1.8877e-05,2.3430e-05,1.8721e-05,1.2662e-05,1.2203e-05
Ce-142,3.9978e-05,8.7503e-05,1.7391e-04,2.2842e-04,2.6076e-04
Ce-143,3.9227e-07,3.1946e-07,1.9549e-07,1.7210e-07,1.6574e-07
Ce-144,3.3569e-05,6.6110e-05,1.0218e-04,1.1085e-04,1.0406e-04
Pr-139,1.6312e-22,3.4684e-22,1.8676e-22,1.4038e-22,2.1181e-22
Pr-140,1.1939e-24,2.3955e-24,9.9507e-25,1.6081e-24,2.3022e-24
Pr-141,2.0527e-05,6.1844e-05,1.5117e-04,2.0924e-04,2.3843e-04
Pr-142,2.4277e-10,6.9701e-10,1.6825e-09,2.4917e-09,2.9424e-09
Pr-143,9.0244e-06,8.7483e-06,6.5063e-06,4.0221e-06,4.2143e-06
Pr-144,1.4139e-09,2.7846e-09,4.3038e-09,4.6689e-09,4.3829e-09
Pr-144m,5.6094e-12,1.1047e-11,1.7074e-11,1.8523e-11,1.7388e-11
Pr-145,1.8310e-09,1.3371e-09,7.4677e-10,8.1108e-10,7.2985e-10
Pr-146,1.6588e-35,1.2130e-35,6.8028e-36,7.5540e-36,6.8549e-36
Nd-140,1.7079e-21,3.4268e-21,1.4235e-21,2.3003e-21,3.2933e-21
Nd-141,1.2239e-25,2.8798e-25,1.5193e-25,8.1544e-26,1.4884e-25
Nd-142,3.0076e-08,2.4517e-07,1.7563e-06,3.7110e-06,6.1436e-06
Nd-143,2.9454e-05,7.0703e-05,1.2961e-04,1.5171e-04,1.5932e-04
Nd-144,4.4227e-06,1.9842e-05,8.8519e-05,1.5978e-04,2.1554e-04
Nd-145,2.6008e-05,5.4816e-05,1.0556e-04,1.3085e-04,1.3640e-04
Nd-146,2.0779e-05,4.6649e-05,9.6390e-05,1.3445e-04,1.6555e-04
Nd-147,2.4762e-06,2.3563e-06,1.7722e-06,1.1692e-06,1.2674e-06
Nd-148,1.1902e-05,2.6395e-05,5.3115e-05,7.0509e-05,8.1120e-05
Nd-149,5.4084e-15,4.1696e-15,2.4325e-15,2.9028e-15,2.7388e-15
Nd-150,4.6358e-06,1.0507e-05,2.2118e-05,3.0335e-05,3.5366e-05
Pm-143,1.5775e-19,5.7841e-19,1.3571e-18,1.8966e-18,2.0833e-18
Pm-144,6.9318e-18,2.5123e-17,6.2606e-17,8.9989e-17,1.0057e-16
Pm-145,2.5879e-16,9.6540e-16,2.8361e-15,4.4681e-15,8.3703e-13
Pm-146,3.5445e-12,3.5428e-11,2.4206e-11,1.8826e-09,2.3726e-09
Pm-147,1.0976e-05,2.2175e-05,3.4649e-05,3.3407e-05,2.8614e-05
Pm-148,6.7943e-08,2.0420e-07,2.0386e-07,2.1152e-07,2.1891e-07
Pm-148m,7.5220e-08,2.2554e-07,1.9805e-07,2.5288e-07,2.5342e-07
Pm-149,1.7618e-07,1.9558e-07,1.4299e-07,1.4639e-07,1.4671e-07
Pm-150,2.1417e-14,1.9564e-14,1.5645e-14,1.5587e-14,1.5951e-14
Pm-151,2.4383e-08,2.2588e-08,1.4907e-08,1.5939e-08,1.7264e-08
Sm-144,4.2512e-22,1.7739e-21,5.5247e-21,8.8646e-21,1.0709e-20
Sm-145,2.1904e-20,8.3570e-20,2.0949e-19,3.0178e-19,3.3740e-19
Sm-146,5.9470e-14,1.5569e-12,5.1518e-12,2.8379e-10,3.1604e-10
Sm-147,2.3804e-07,1.0797e-06,4.5083e-06,6.7224e-06,7.2778e-06
Sm-148,5.5593e-07,3.2902e-06,1.2468e-05,2.2958e-05,3.3303e-05
Sm-149,5.1308e-07,6.5708e-07,4.4729e-07,5.0214e-07,4.9582e-07
Sm-150,7.1083e-06,1.7724e-05,3.9268e-05,5.5766e-05,6.4411e-05
Sm-151,1.4413e-06,1.9775e-06,1.7995e-06,2.3739e-06,2.7862e-06
Sm-152,3.2074e-06,7.7085e-06,1.6604e-05,1.6225e-05,1.6779e-05
Sm-153,3.5425e-08,5.8675e-08,6.5316e-08,5.7433e-08,9.6401e-08
